COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,FRACTION_POP,WEIGHTED_DEATHS_100K,AGE_MIDPOINT,WEIGHTED_AGE,GENDER_RATIO
Canada,CAN,MLE,YEARS0-1,0.00542912,2.28131606,0.5,0.00271456,0.984933705
Canada,CAN,MLE,YEARS10-14,0.026912298,0.207224694,12,0.322947575,0.984933705
Canada,CAN,MLE,YEARS1-4,0.021671866,0.270898324,2.5,0.054179665,0.984933705
Canada,CAN,MLE,YEARS15-19,0.027464461,0.89808788,17,0.46689584,0.984933705
Canada,CAN,MLE,YEARS20-24,0.032910367,1.941711668,22,0.72402808,0.984933705
Canada,CAN,MLE,YEARS25-29,0.036663083,2.9513782,27,0.989903247,0.984933705
Canada,CAN,MLE,YEARS30-34,0.034656617,3.226531004,32,1.109011731,0.984933705
Canada,CAN,MLE,YEARS35-39,0.034763777,3.375562792,37,1.286259766,0.984933705
Canada,CAN,MLE,YEARS40-44,0.032215439,3.985049763,42,1.353048424,0.984933705
Canada,CAN,MLE,YEARS45-49,0.031700457,6.051617234,47,1.489921477,0.984933705
Canada,CAN,MLE,YEARS50-54,0.033331446,9.309472921,52,1.733235202,0.984933705
Canada,CAN,MLE,YEARS55-59,0.037127438,17.25683326,57,2.116263975,0.984933705
Canada,CAN,MLE,YEARS5-9,0.027071182,0.159719971,7,0.189498271,0.984933705
Canada,CAN,MLE,YEARS60-64,0.033204131,24.97614721,62,2.058656111,0.984933705
Canada,CAN,MLE,YEARS65-69,0.027289272,30.19012186,67,1.828381239,0.984933705
Canada,CAN,MLE,YEARS70-74,0.022203741,39.02751564,72,1.598669355,0.984933705
Canada,CAN,MLE,YEARS75-79,0.014277524,41.12926393,77,1.099369363,0.984933705
Canada,CAN,MLE,YEARS80-84,0.009144708,47.21229591,82,0.749866015,0.984933705
Canada,CAN,MLE,YEARS85PLUS,0.00816791,89.24830471,88,0.7187761,0.984933705
China,CHN,FMLE,YEARS0-1,0.005400306,3.149458539,0.5,0.002700153,1.052441413
China,CHN,FMLE,YEARS10-14,0.026903083,0.31476607,12,0.322836994,1.052441413
China,CHN,FMLE,YEARS1-4,0.022423056,0.540395647,2.5,0.05605764,1.052441413
